"varieties_present","galega","cobrancosa","arbequina","picual","cordovilTM","cordovilSE","madural","verdeal"
"3",0.750947316869094,0.601186659515266,0,0,0,0.592764009934253,0,0
"1",0,0,0,0,0,0.440730824105851,0,0
"2",0.560364747105383,0,0,0,0,0.608690179242322,0,0
"2",0.549396614531375,0,0,0,0,0.656530040353191,0,0
"3",0.54176559143443,0,0,0,0.456658110166587,0.555368548000257,0,0
"2",0.615930204252415,0,0,0,0,0.654672874215875,0,0
"3",0.735116905125608,0.562309065639975,0,0,0,0.685088416956859,0,0
"3",0.76009635257772,0.573987942737734,0,0,0,0.667992759175302,0,0
"3",0.697526770715132,0.571238903565751,0,0,0,0.505227527704826,0,0
"3",0.655636979953483,0.587079752081807,0,0,0,0.519974439529374,0,0
"3",0.649224044139155,0.545080621485435,0,0,0,0.47872647092985,0,0
"2",0.522274580049731,0,0,0,0,0.572158344075438,0,0
"2",0.547552589370582,0,0,0,0,0.500269968025746,0,0
"2",0.543925982195682,0,0,0,0,0.510728267920865,0,0
"3",0.565754662456363,0,0,0,0.487850340640011,0.669668742313144,0,0
"2",0.63875477397749,0,0,0,0,0.676628118469592,0,0
"3",0.714374648612755,0.545524162026914,0,0,0,0.675190718490474,0,0
"3",0.7178174922368,0.571325289991874,0,0,0,0.67596581557565,0,0
"3",0.688676735141614,0.580983932477166,0,0,0,0.683470552209743,0,0
"4",0.643496995071198,0.55872512252708,0,0,0.461144189457306,0.490830467111563,0,0
"3",0.653270765616872,0.597410033737249,0,0,0,0.523670699598048,0,0
"3",0.670852658010148,0,0,0,0.479015362979375,0.498734038700365,0,0
"2",0.610202322321737,0,0,0,0,0.476147133416422,0,0
"2",0.612994561566408,0,0,0,0,0.462679367231787,0,0
"3",0.675523001792213,0.567967051431548,0,0,0,0.485274841684628,0,0
"2",0.648601211822188,0,0,0,0,0.444904974578333,0,0
"2",0.525694870916351,0,0,0,0,0.467996597697771,0,0
"2",0.533862847893157,0,0,0,0,0.460881356060018,0,0
"2",0.535648616378826,0,0,0,0,0.460410336855429,0,0
"2",0.685004253957049,0,0,0,0,0.505930178069753,0,0
"2",0.731025205106019,0,0,0,0,0.52219284942492,0,0
"2",0.745467258021683,0,0,0,0,0.499657689036153,0,0
"2",0.731824790925566,0,0,0,0,0.460730666296326,0,0
"2",0.534595326089781,0,0,0,0,0.504983458840115,0,0
"2",0.619692349729819,0,0,0,0,0.433800533119053,0,0
"2",0.531653974445449,0,0,0,0,0.469107217991018,0,0
"2",0.524733290773293,0,0,0,0,0.473125902100098,0,0
"2",0.533631612507175,0,0,0,0,0.47222036683814,0,0
"3",0.703022731244937,0.54980047084583,0,0,0,0.499377347787696,0,0
"2",0.740441381112106,0,0,0,0,0.506296536325046,0,0
"2",0.784031901484473,0,0,0,0,0.50924327570976,0,0
"2",0.644560038025082,0,0,0,0,0.480146168073638,0,0
"2",0.521509953080523,0,0,0,0,0.478655151298111,0,0
"2",0.596727941768688,0,0,0,0,0.430945300330477,0,0
"2",0.537369908560681,0,0,0,0,0.428341369420264,0,0
"2",0.532192293036233,0,0,0,0,0.428553497830032,0,0
"2",0.538614092482625,0,0,0,0,0.430780242845913,0,0
"2",0.569597972126267,0,0,0,0,0.480730786255916,0,0
